Handle,Variant SKU,Title,Vendor,Product Type,Variant Price,Cost per item,Compare At Price,Variant Barcode,Weight,Weight Unit,Dimensions,Variant Inventory Qty,Stock Status,Published,Variant Taxable,Image Src,Body (HTML),Tags,Updated At,Supplier Ref
fender-nw-1033,NW-1033,Heavyweight Fender,Vellum,Stationery,"1.299,00",519.60,,5060000095029,340,g,1.2 x 0.4 x 0.4 m,0,Discontinued,yes,1,https://cdn.example-supplier.test/img/nw-1033.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","stationery, catalogue",2026-09-04T02:30:00Z,NW/0011
mallet-nw-1036,NW-1036,RUBBER FACED MALLET,HARBOURLINE OUTFITTERS,Marine,"$1,299.00",519.60,1688.70,5060000102949,2.5,kg,12 x 8 x 4 in,14,In Stock,1,N,https://cdn.example-supplier.test/img/nw-1036.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"marine, catalogue",2026-09-05T03:30:00Z,NW/0012
colander-nw-1039,NW-1039,stackable colander,KESTREL & CO.,Storage,49.99,20.00,,5060000110869,500 g,,300mm x 200mm x 100mm,3,instock,N,false,https://cdn.example-supplier.test/img/nw-1039.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"storage, catalogue",2026-09-06T04:30:00Z,NW/0013
sketchbook-nw-1042,NW-1042,Stainless Sketchbook,Marrow Tool Works Ltd,Lighting,"  18,50  ",7.40,,5060000118780,1.1lb,,30 × 20 × 10 cm,0,OUT OF STOCK,false,TRUE,https://cdn.example-supplier.test/img/nw-1042.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"lighting, catalogue",2026-09-07T05:30:00Z,NW/0014
bilge-pump-nw-1045,NW-1045,ENAMELLED BILGE PUMP,pennyroyal,Workshop,USD 45.50,18.20,,5060000126709,12 oz,,1.2 x 0.4 x 0.4 m,0,Back-Order,TRUE,yes,//cdn.example-supplier.test/img/nw-1045.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","workshop, catalogue",2026-09-08T06:30:00Z,NW/0015
tool-roll-nw-1048,NW-1048,bevel edge tool roll,salt marsh supply,Outdoor,$7.25,2.90,9.43,5060000134629,"0,75 kg",,12 x 8 x 4 in,0,Pre-Order,yes,1,https://cdn.example-supplier.test/img/nw-1048.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"outdoor, catalogue",2026-09-01T07:30:00Z,NW/0016
crate-nw-1051,NW-1051,Perforated Crate,Vellum,Hand Tools,"1.299,00",519.60,,5060000142549,340,g,300mm x 200mm x 100mm,0,Discontinued,1,N,https://cdn.example-supplier.test/img/nw-1051.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"hand tools, catalogue",2026-09-02T08:30:00Z,NW/0017
head-torch-nw-1054,NW-1054,USB-C RECHARGEABLE HEAD TORCH,HARBOURLINE OUTFITTERS,Kitchen,"$1,299.00",519.60,,5060000150469,2.5,kg,30 × 20 × 10 cm,14,In Stock,N,false,https://cdn.example-supplier.test/img/nw-1054.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"kitchen, catalogue",2026-09-03T00:30:00Z,NW/0018
bench-hook-nw-1057,NW-1057,lidded bench hook,KESTREL & CO.,Stationery,49.99,20.00,,5060000158380,500 g,,1.2 x 0.4 x 0.4 m,3,instock,false,TRUE,https://cdn.example-supplier.test/img/nw-1057.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","stationery, catalogue",2026-09-04T01:30:00Z,NW/0019
butter-dish-nw-1060,NW-1060,Ruled A5 Butter Dish,Marrow Tool Works Ltd,Marine,"  18,50  ",7.40,24.05,5060000166293,1.1lb,,12 x 8 x 4 in,0,OUT OF STOCK,TRUE,yes,//cdn.example-supplier.test/img/nw-1060.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"marine, catalogue",2026-09-05T02:30:00Z,NW/0020
index-cards-nw-1063,NW-1063,AIRTIGHT INDEX CARDS,pennyroyal,Storage,USD 45.50,18.20,,5060000174212,12 oz,,300mm x 200mm x 100mm,0,Back-Order,yes,1,https://cdn.example-supplier.test/img/nw-1063.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"storage, catalogue",2026-09-06T03:30:00Z,NW/0021
cleat-nw-1066,NW-1066,hardback cleat,salt marsh supply,Lighting,$7.25,2.90,,5060000182132,"0,75 kg",,30 × 20 × 10 cm,0,Pre-Order,1,N,https://cdn.example-supplier.test/img/nw-1066.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"lighting, catalogue",2026-09-07T04:30:00Z,NW/0022
bin-nw-1069,NW-1069,Beech Bin,Vellum,Workshop,"1.299,00",519.60,,5060000190052,340,g,1.2 x 0.4 x 0.4 m,0,Discontinued,N,false,https://cdn.example-supplier.test/img/nw-1069.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","workshop, catalogue",2026-09-08T05:30:00Z,NW/0023
lantern-nw-1072,NW-1072,BRASS LANTERN,HARBOURLINE OUTFITTERS,Outdoor,"$1,299.00",519.60,1688.70,5060000197976,2.5,kg,12 x 8 x 4 in,14,In Stock,false,TRUE,https://cdn.example-supplier.test/img/nw-1072.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"outdoor, catalogue",2026-09-01T06:30:00Z,NW/0024
dry-bag-nw-1075,NW-1075,stiff bristle dry bag,KESTREL & CO.,Hand Tools,49.99,20.00,,5060000205893,500 g,,300mm x 200mm x 100mm,3,instock,TRUE,yes,//cdn.example-supplier.test/img/nw-1075.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"hand tools, catalogue",2026-09-02T07:30:00Z,NW/0025
chisel-nw-1078,NW-1078,Cloth Bound Chisel,Marrow Tool Works Ltd,Kitchen,"  18,50  ",7.40,,5060000213812,1.1lb,,30 × 20 × 10 cm,0,OUT OF STOCK,yes,1,https://cdn.example-supplier.test/img/nw-1078.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"kitchen, catalogue",2026-09-03T08:30:00Z,NW/0026
mixing-bowl-nw-1081,NW-1081,MANUAL 12V MIXING BOWL,pennyroyal,Stationery,USD 45.50,18.20,,5060000221732,12 oz,,1.2 x 0.4 x 0.4 m,0,Back-Order,1,N,https://cdn.example-supplier.test/img/nw-1081.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","stationery, catalogue",2026-09-04T00:30:00Z,NW/0027
notebook-nw-1084,NW-1084,stoneware notebook,salt marsh supply,Marine,$7.25,2.90,9.43,5060000229653,"0,75 kg",,12 x 8 x 4 in,0,Pre-Order,N,false,https://cdn.example-supplier.test/img/nw-1084.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"marine, catalogue",2026-09-05T01:30:00Z,NW/0028
deck-brush-nw-1087,NW-1087,Waxed Canvas Deck Brush,Vellum,Storage,"1.299,00",519.60,,5060000237573,340,g,300mm x 200mm x 100mm,0,Discontinued,false,TRUE,https://cdn.example-supplier.test/img/nw-1087.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"storage, catalogue",2026-09-06T02:30:00Z,NW/0029
rope-ladder-nw-1090,NW-1090,BRAIDED 9M ROPE LADDER,HARBOURLINE OUTFITTERS,Lighting,"$1,299.00",519.60,,5060000245486,2.5,kg,30 × 20 × 10 cm,14,In Stock,TRUE,yes,//cdn.example-supplier.test/img/nw-1090.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"lighting, catalogue",2026-09-07T03:30:00Z,NW/0030
tote-nw-1093,NW-1093,cylindrical tote,KESTREL & CO.,Workshop,49.99,20.00,,5060000253405,500 g,,1.2 x 0.4 x 0.4 m,3,instock,yes,1,https://cdn.example-supplier.test/img/nw-1093.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","workshop, catalogue",2026-09-08T04:30:00Z,NW/0031
hand-plane-nw-1096,NW-1096,Four Pocket Hand Plane,Marrow Tool Works Ltd,Outdoor,"  18,50  ",7.40,24.05,5060000261325,1.1lb,,12 x 8 x 4 in,0,OUT OF STOCK,1,N,https://cdn.example-supplier.test/img/nw-1096.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"outdoor, catalogue",2026-09-01T05:30:00Z,NW/0032
tea-caddy-nw-1099,NW-1099,GRIDDED TEA CADDY,pennyroyal,Hand Tools,USD 45.50,18.20,,5060000269246,12 oz,,300mm x 200mm x 100mm,0,Back-Order,N,false,https://cdn.example-supplier.test/img/nw-1099.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"hand tools, catalogue",2026-09-02T06:30:00Z,NW/0033
ledger-nw-1102,NW-1102,oak handled ledger,salt marsh supply,Kitchen,$7.25,2.90,,5060000277166,"0,75 kg",,30 × 20 × 10 cm,0,Pre-Order,false,TRUE,https://cdn.example-supplier.test/img/nw-1102.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"kitchen, catalogue",2026-09-03T07:30:00Z,NW/0034
fender-nw-1105,NW-1105,Heavyweight Fender,Vellum,Stationery,"1.299,00",519.60,,5060000285086,340,g,1.2 x 0.4 x 0.4 m,0,Discontinued,TRUE,yes,//cdn.example-supplier.test/img/nw-1105.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","stationery, catalogue",2026-09-04T08:30:00Z,NW/0035
mallet-nw-1108,NW-1108,RUBBER FACED MALLET,HARBOURLINE OUTFITTERS,Marine,"$1,299.00",519.60,1688.70,5060000293005,2.5,kg,12 x 8 x 4 in,14,In Stock,yes,1,https://cdn.example-supplier.test/img/nw-1108.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"marine, catalogue",2026-09-05T00:30:00Z,NW/0036
colander-nw-1111,NW-1111,stackable colander,KESTREL & CO.,Storage,49.99,20.00,,5060000300925,500 g,,300mm x 200mm x 100mm,3,instock,1,N,https://cdn.example-supplier.test/img/nw-1111.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"storage, catalogue",2026-09-06T01:30:00Z,NW/0037
sketchbook-nw-1114,NW-1114,Stainless Sketchbook,Marrow Tool Works Ltd,Lighting,"  18,50  ",7.40,,5060000308846,1.1lb,,30 × 20 × 10 cm,0,OUT OF STOCK,N,false,https://cdn.example-supplier.test/img/nw-1114.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"lighting, catalogue",2026-09-07T02:30:00Z,NW/0038
bilge-pump-nw-1117,NW-1117,ENAMELLED BILGE PUMP,pennyroyal,Workshop,USD 45.50,18.20,,5060000316766,12 oz,,1.2 x 0.4 x 0.4 m,0,Back-Order,false,TRUE,https://cdn.example-supplier.test/img/nw-1117.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","workshop, catalogue",2026-09-08T03:30:00Z,NW/0039
tool-roll-nw-1120,NW-1120,bevel edge tool roll,salt marsh supply,Outdoor,$7.25,2.90,9.43,5060000324679,"0,75 kg",,12 x 8 x 4 in,0,Pre-Order,TRUE,yes,//cdn.example-supplier.test/img/nw-1120.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"outdoor, catalogue",2026-09-01T04:30:00Z,NW/0040
crate-nw-1123,NW-1123,Perforated Crate,Vellum,Hand Tools,"1.299,00",519.60,,5060000332599,340,g,300mm x 200mm x 100mm,0,Discontinued,yes,1,https://cdn.example-supplier.test/img/nw-1123.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"hand tools, catalogue",2026-09-02T05:30:00Z,NW/0041
head-torch-nw-1126,NW-1126,USB-C RECHARGEABLE HEAD TORCH,HARBOURLINE OUTFITTERS,Kitchen,"$1,299.00",519.60,,5060000340518,2.5,kg,30 × 20 × 10 cm,14,In Stock,1,N,https://cdn.example-supplier.test/img/nw-1126.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"kitchen, catalogue",2026-09-03T06:30:00Z,NW/0042
bench-hook-nw-1129,NW-1129,lidded bench hook,KESTREL & CO.,Stationery,49.99,20.00,,5060000348439,500 g,,1.2 x 0.4 x 0.4 m,3,instock,N,false,https://cdn.example-supplier.test/img/nw-1129.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","stationery, catalogue",2026-09-04T07:30:00Z,NW/0043
butter-dish-nw-1132,NW-1132,Ruled A5 Butter Dish,Marrow Tool Works Ltd,Marine,"  18,50  ",7.40,24.05,5060000356359,1.1lb,,12 x 8 x 4 in,0,OUT OF STOCK,false,TRUE,https://cdn.example-supplier.test/img/nw-1132.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"marine, catalogue",2026-09-05T08:30:00Z,NW/0044
index-cards-nw-1135,NW-1135,AIRTIGHT INDEX CARDS,pennyroyal,Storage,USD 45.50,18.20,,5060000364279,12 oz,,300mm x 200mm x 100mm,0,Back-Order,TRUE,yes,//cdn.example-supplier.test/img/nw-1135.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"storage, catalogue",2026-09-06T00:30:00Z,NW/0045
cleat-nw-1138,NW-1138,hardback cleat,salt marsh supply,Lighting,$7.25,2.90,,5060000372199,"0,75 kg",,30 × 20 × 10 cm,0,Pre-Order,yes,1,https://cdn.example-supplier.test/img/nw-1138.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"lighting, catalogue",2026-09-07T01:30:00Z,NW/0046
bin-nw-1141,NW-1141,Beech Bin,Vellum,Workshop,"1.299,00",519.60,,5060000380118,340,g,1.2 x 0.4 x 0.4 m,0,Discontinued,1,N,https://cdn.example-supplier.test/img/nw-1141.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","workshop, catalogue",2026-09-08T02:30:00Z,NW/0047
lantern-nw-1144,NW-1144,BRASS LANTERN,HARBOURLINE OUTFITTERS,Outdoor,"$1,299.00",519.60,1688.70,5060000388039,2.5,kg,12 x 8 x 4 in,14,In Stock,N,false,https://cdn.example-supplier.test/img/nw-1144.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"outdoor, catalogue",2026-09-01T03:30:00Z,NW/0048
dry-bag-nw-1147,NW-1147,stiff bristle dry bag,KESTREL & CO.,Hand Tools,49.99,20.00,,5060000395952,500 g,,300mm x 200mm x 100mm,3,instock,false,TRUE,https://cdn.example-supplier.test/img/nw-1147.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"hand tools, catalogue",2026-09-02T04:30:00Z,NW/0049
chisel-nw-1150,NW-1150,Cloth Bound Chisel,Marrow Tool Works Ltd,Kitchen,"  18,50  ",7.40,,5060000403862,1.1lb,,30 × 20 × 10 cm,0,OUT OF STOCK,TRUE,yes,//cdn.example-supplier.test/img/nw-1150.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"kitchen, catalogue",2026-09-03T05:30:00Z,NW/0050
mixing-bowl-nw-1153,NW-1153,MANUAL 12V MIXING BOWL,pennyroyal,Stationery,USD 45.50,18.20,,5060000411782,12 oz,,1.2 x 0.4 x 0.4 m,0,Back-Order,yes,1,https://cdn.example-supplier.test/img/nw-1153.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","stationery, catalogue",2026-09-04T06:30:00Z,NW/0051
notebook-nw-1156,NW-1156,stoneware notebook,salt marsh supply,Marine,$7.25,2.90,9.43,5060000419702,"0,75 kg",,12 x 8 x 4 in,0,Pre-Order,1,N,https://cdn.example-supplier.test/img/nw-1156.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"marine, catalogue",2026-09-05T07:30:00Z,NW/0052
deck-brush-nw-1159,NW-1159,Waxed Canvas Deck Brush,Vellum,Storage,"1.299,00",519.60,,5060000427622,340,g,300mm x 200mm x 100mm,0,Discontinued,N,false,https://cdn.example-supplier.test/img/nw-1159.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"storage, catalogue",2026-09-06T08:30:00Z,NW/0053
rope-ladder-nw-1162,NW-1162,BRAIDED 9M ROPE LADDER,HARBOURLINE OUTFITTERS,Lighting,"$1,299.00",519.60,,5060000435542,2.5,kg,30 × 20 × 10 cm,14,In Stock,false,TRUE,https://cdn.example-supplier.test/img/nw-1162.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"lighting, catalogue",2026-09-07T00:30:00Z,NW/0054
tote-nw-1165,NW-1165,cylindrical tote,KESTREL & CO.,Workshop,49.99,20.00,,5060000443462,500 g,,1.2 x 0.4 x 0.4 m,3,instock,TRUE,yes,//cdn.example-supplier.test/img/nw-1165.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","workshop, catalogue",2026-09-08T01:30:00Z,NW/0055
hand-plane-nw-1168,NW-1168,Four Pocket Hand Plane,Marrow Tool Works Ltd,Outdoor,"  18,50  ",7.40,24.05,5060000451382,1.1lb,,12 x 8 x 4 in,0,OUT OF STOCK,yes,1,https://cdn.example-supplier.test/img/nw-1168.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"outdoor, catalogue",2026-09-01T02:30:00Z,NW/0056
tea-caddy-nw-1171,NW-1171,GRIDDED TEA CADDY,pennyroyal,Hand Tools,USD 45.50,18.20,,5060000459302,12 oz,,300mm x 200mm x 100mm,0,Back-Order,1,N,https://cdn.example-supplier.test/img/nw-1171.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"hand tools, catalogue",2026-09-02T03:30:00Z,NW/0057
ledger-nw-1174,NW-1174,oak handled ledger,salt marsh supply,Kitchen,$7.25,2.90,,5060000467222,"0,75 kg",,30 × 20 × 10 cm,0,Pre-Order,N,false,https://cdn.example-supplier.test/img/nw-1174.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"kitchen, catalogue",2026-09-03T04:30:00Z,NW/0058
fender-nw-1177,NW-1177,Heavyweight Fender,Vellum,Stationery,"1.299,00",519.60,,5060000475142,340,g,1.2 x 0.4 x 0.4 m,0,Discontinued,false,TRUE,https://cdn.example-supplier.test/img/nw-1177.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","stationery, catalogue",2026-09-04T05:30:00Z,NW/0059
mallet-nw-1180,NW-1180,RUBBER FACED MALLET,HARBOURLINE OUTFITTERS,Marine,"$1,299.00",519.60,1688.70,5060000483055,2.5,kg,12 x 8 x 4 in,14,In Stock,TRUE,yes,//cdn.example-supplier.test/img/nw-1180.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"marine, catalogue",2026-09-05T06:30:00Z,NW/0060
colander-nw-1183,NW-1183,stackable colander,KESTREL & CO.,Storage,49.99,20.00,,5060000490978,500 g,,300mm x 200mm x 100mm,3,instock,yes,1,https://cdn.example-supplier.test/img/nw-1183.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"storage, catalogue",2026-09-06T07:30:00Z,NW/0061
sketchbook-nw-1186,NW-1186,Stainless Sketchbook,Marrow Tool Works Ltd,Lighting,"  18,50  ",7.40,,5060000498899,1.1lb,,30 × 20 × 10 cm,0,OUT OF STOCK,1,N,https://cdn.example-supplier.test/img/nw-1186.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"lighting, catalogue",2026-09-07T08:30:00Z,NW/0062
bilge-pump-nw-1189,NW-1189,ENAMELLED BILGE PUMP,pennyroyal,Workshop,USD 45.50,18.20,,5060000506815,12 oz,,1.2 x 0.4 x 0.4 m,0,Back-Order,N,false,https://cdn.example-supplier.test/img/nw-1189.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","workshop, catalogue",2026-09-08T00:30:00Z,NW/0063
tool-roll-nw-1192,NW-1192,bevel edge tool roll,salt marsh supply,Outdoor,$7.25,2.90,9.43,5060000514735,"0,75 kg",,12 x 8 x 4 in,0,Pre-Order,false,TRUE,https://cdn.example-supplier.test/img/nw-1192.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"outdoor, catalogue",2026-09-01T01:30:00Z,NW/0064
crate-nw-1195,NW-1195,Perforated Crate,Vellum,Hand Tools,"1.299,00",519.60,,5060000522655,340,g,300mm x 200mm x 100mm,0,Discontinued,TRUE,yes,//cdn.example-supplier.test/img/nw-1195.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"hand tools, catalogue",2026-09-02T02:30:00Z,NW/0065
head-torch-nw-1198,NW-1198,USB-C RECHARGEABLE HEAD TORCH,HARBOURLINE OUTFITTERS,Kitchen,"$1,299.00",519.60,,5060000530575,2.5,kg,30 × 20 × 10 cm,14,In Stock,yes,1,https://cdn.example-supplier.test/img/nw-1198.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"kitchen, catalogue",2026-09-03T03:30:00Z,NW/0066
bench-hook-nw-1201,NW-1201,lidded bench hook,KESTREL & CO.,Stationery,49.99,20.00,,5060000538496,500 g,,1.2 x 0.4 x 0.4 m,3,instock,1,N,https://cdn.example-supplier.test/img/nw-1201.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","stationery, catalogue",2026-09-04T04:30:00Z,NW/0067
butter-dish-nw-1204,NW-1204,Ruled A5 Butter Dish,Marrow Tool Works Ltd,Marine,"  18,50  ",7.40,24.05,5060000546415,1.1lb,,12 x 8 x 4 in,0,OUT OF STOCK,N,false,https://cdn.example-supplier.test/img/nw-1204.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"marine, catalogue",2026-09-05T05:30:00Z,NW/0068
index-cards-nw-1207,NW-1207,AIRTIGHT INDEX CARDS,pennyroyal,Storage,USD 45.50,18.20,,5060000554335,12 oz,,300mm x 200mm x 100mm,0,Back-Order,false,TRUE,https://cdn.example-supplier.test/img/nw-1207.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"storage, catalogue",2026-09-06T06:30:00Z,NW/0069
cleat-nw-1210,NW-1210,hardback cleat,salt marsh supply,Lighting,$7.25,2.90,,5060000562248,"0,75 kg",,30 × 20 × 10 cm,0,Pre-Order,TRUE,yes,//cdn.example-supplier.test/img/nw-1210.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"lighting, catalogue",2026-09-07T07:30:00Z,NW/0070
bin-nw-1213,NW-1213,Beech Bin,Vellum,Workshop,"1.299,00",519.60,,5060000570168,340,g,1.2 x 0.4 x 0.4 m,0,Discontinued,yes,1,https://cdn.example-supplier.test/img/nw-1213.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","workshop, catalogue",2026-09-08T08:30:00Z,NW/0071
lantern-nw-1216,NW-1216,BRASS LANTERN,HARBOURLINE OUTFITTERS,Outdoor,"$1,299.00",519.60,1688.70,5060000578089,2.5,kg,12 x 8 x 4 in,14,In Stock,1,N,https://cdn.example-supplier.test/img/nw-1216.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"outdoor, catalogue",2026-09-01T00:30:00Z,NW/0072
dry-bag-nw-1219,NW-1219,stiff bristle dry bag,KESTREL & CO.,Hand Tools,49.99,20.00,,5060000586008,500 g,,300mm x 200mm x 100mm,3,instock,N,false,https://cdn.example-supplier.test/img/nw-1219.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"hand tools, catalogue",2026-09-02T01:30:00Z,NW/0073
chisel-nw-1222,NW-1222,Cloth Bound Chisel,Marrow Tool Works Ltd,Kitchen,"  18,50  ",7.40,,5060000593921,1.1lb,,30 × 20 × 10 cm,0,OUT OF STOCK,false,TRUE,https://cdn.example-supplier.test/img/nw-1222.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"kitchen, catalogue",2026-09-03T02:30:00Z,NW/0074
